Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp ,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
26-Apr-24,EQ,"1,340.00","1,341.60","1,321.10","1,330.55","1,326.25","1,324.60","1,328.85","1,424.95",656,"25,65,490","3,40,91,41,234.35","75,100"
25-Apr-24,EQ,"1,320.50","1,336.95","1,316.80","1,320.50","1,328.25","1,330.55","1,328.29","1,424.95",656,"60,97,087","8,09,86,85,271.80","1,65,345"
24-Apr-24,EQ,"1,331.00","1,332.90","1,318.05","1,322.10","1,319.00","1,320.50","1,326.09","1,424.95",656,"25,53,035","3,38,55,41,706.00","1,05,611"
23-Apr-24,EQ,"1,321.10","1,338.55","1,318.90","1,321.10","1,321.00","1,322.10","1,328.53","1,424.95",656,"38,47,872","5,11,20,08,891.80","1,15,321"
22-Apr-24,EQ,"1,321.10","1,331.00","1,315.00","1,310.00","1,323.25","1,321.10","1,320.54","1,424.95",656,"89,03,130","11,75,69,23,627.80","67,598"
19-Apr-24,EQ,"1,280.00","1,316.00","1,270.00","1,295.55","1,310.80","1,310.00","1,297.08","1,424.95",651.05,"38,99,281","5,05,76,67,228.10","1,14,818"
18-Apr-24,EQ,"1,315.95","1,336.50","1,291.00","1,304.35","1,306.40","1,295.55","1,320.54","1,424.95",651.05,"62,19,274","8,21,28,23,222.85","1,82,146"
16-Apr-24,EQ,"1,302.00","1,322.00","1,294.40","1,315.55","1,307.75","1,304.35","1,306.17","1,424.95",651.05,"26,96,593","3,52,22,03,975.40","90,316"
15-Apr-24,EQ,"1,320.00","1,335.00","1,308.60","1,344.20","1,316.50","1,315.55","1,320.64","1,424.95",651.05,"33,72,368","4,45,36,83,204.70","1,29,000"
12-Apr-24,EQ,"1,350.00","1,358.40","1,341.00","1,352.30","1,347.00","1,344.20","1,349.49","1,424.95",643,"21,83,230","2,94,62,50,364.15","79,251"
10-Apr-24,EQ,"1,359.00","1,359.90","1,348.20","1,356.50","1,351.10","1,352.30","1,352.43","1,424.95",643,"39,84,001","5,38,80,66,733.05","1,01,971"
9-Apr-24,EQ,"1,356.15","1,364.90","1,346.10","1,348.65","1,353.00","1,356.50","1,356.45","1,424.95",643,"19,35,801","2,62,58,18,803.95","65,370"
8-Apr-24,EQ,"1,381.95","1,381.95","1,337.00","1,375.55","1,353.00","1,348.65","1,350.65","1,424.95",643,"1,40,38,860","18,96,15,20,938.15","1,27,513"
5-Apr-24,EQ,"1,367.00","1,381.90","1,357.35","1,366.85","1,375.50","1,375.55","1,371.04","1,424.95",622.15,"18,53,120","2,54,06,94,127.95","61,822"
4-Apr-24,EQ,"1,408.60","1,408.60","1,362.25","1,397.20","1,369.30","1,366.85","1,379.87","1,424.95",622.15,"41,97,697","5,79,22,74,214.95","1,61,088"
3-Apr-24,EQ,"1,399.85","1,402.00","1,389.20","1,404.15","1,401.00","1,397.20","1,397.03","1,424.95",622.15,"27,27,582","3,81,05,26,156.05","1,14,625"
2-Apr-24,EQ,"1,397.80","1,424.95","1,388.20","1,375.90","1,402.85","1,404.15","1,405.43","1,424.95",622.15,"57,69,001","8,10,79,12,362.40","1,52,736"
1-Apr-24,EQ,"1,356.80","1,381.75","1,350.25","1,341.85","1,378.00","1,375.90","1,370.36","1,381.75",622.15,"32,51,462","4,45,56,60,558.65","92,837"
28-Mar-24,EQ,"1,334.00","1,358.70","1,314.00","1,322.80","1,342.95","1,341.85","1,336.99","1,358.70",571.55,"41,88,741","5,60,03,01,611.75","1,34,708"
27-Mar-24,EQ,"1,315.00","1,343.00","1,312.10","1,304.20","1,324.90","1,322.80","1,331.61","1,356.55",571.55,"49,38,400","6,57,60,43,145.70","1,55,518"
26-Mar-24,EQ,"1,281.60","1,314.00","1,281.00","1,281.60","1,305.00","1,304.20","1,302.19","1,356.55",571.55,"36,10,644","4,70,17,45,079.85","1,22,616"
